ARCID;ATYP;ADEP;ADES;RM;ARF;ETD;TT;ETA;Flight Time;Adjusted Time;CAT;Seats;Airline;Coming From;TAS(kts);TAS(m/s);Distancia (km)
RYR404A;B738;LPPR;LEBL;EIDCJ;380;22:50:00;15;0:05:00;1:15:00;0:45:00;D;184;RYR;ECAC;466.5;240;648
AEE713;A20N;LEBL;LGAV;SXNEB;390;0:19:00;9;2:45:00;2:26:00;2:02:00;D;174;AEE;ECAC;472.7;243.2;1780.22
VLG7575;A320;GBYD;LEBL;ECLVV;380;20:25:00;10;0:45:00;4:20:00;3:55:00;D;173;VLG;Non-ECAC;466.5;240;3384
VLG2479;A321;GCRR;LEBL;ECMQL;360;22:19:00;10;1:00:00;2:41:00;2:16:00;D;207;VLG;ECAC;454.1;233.6;1906.18
RYR56YL;B38M;EIDW;LEBL;EIIHE;370;23:05:00;15;1:05:00;2:00:00;1:30:00;D;170;RYR;ECAC;460.3;236.8;1278.72
ANE3053;CRJX;LEGE;LEBL;ECMLN;180;0:39:00;9;1:10:00;0:31:00;0:07:00;E;100;ANE;ECAC;342.2;176;73.92
VLG7887;A320;GOBD;LEBL;ECMAI;380;20:50:00;10;1:10:00;4:20:00;3:55:00;D;173;VLG;Non-ECAC;466.5;240;3384
TVP7318;B38M;LKPR;LEBL;OKSWF;370;23:41:00;7;1:40:00;1:59:00;1:37:00;D;170;TVP;ECAC;460.3;236.8;1378.18
IBE2602;A332;SAEZ;LEBL;ECNEN;400;15:00:00;10;2:55:00;11:55:00;11:30:00;B;281;IBE;Non-ECAC;478.9;246.4;10200.96
VLG101P;A20N;LFML;LEBL;ECNDA;290;2:28:00;6;3:00:00;0:32:00;0:11:00;D;174;VLG;ECAC;410.5;211.2;139.39
TVP7319;B38M;LEBL;EPWA;OKSWF;360;2:57:00;20;5:40:00;2:43:00;2:08:00;D;170;TVP;ECAC;454.1;233.6;1794.05
VLG72JR;A320;LEBL;GMTT;ECMBE;350;3:03:00;8;4:30:00;1:27:00;1:04:00;D;173;VLG;ECAC;447.8;230.4;884.74
VLG303P;A320;LEBL;LFPO;ECKLT;380;3:07:00;17;4:25:00;1:18:00;0:46:00;D;173;VLG;ECAC;466.5;240;662.4
IBE2606;A332;SCEL;LEBL;ECNNH;400;14:35:00;10;3:25:00;12:50:00;12:25:00;B;281;IBE;Non-ECAC;478.9;246.4;11014.08
VLG2008;A320;LEBL;LICB;ECMBS;390;3:42:00;12;5:15:00;1:33:00;1:06:00;D;173;VLG;ECAC;472.7;243.2;963.07
VLG6DZ;A320;LGIR;LEBL;ECKHN;360;1:05:00;10;3:45:00;2:40:00;2:15:00;D;173;VLG;ECAC;454.1;233.6;1892.16
VLG9YD;A20N;LEBL;EKCH;ECNCS;390;3:47:00;12;6:25:00;2:38:00;2:11:00;D;174;VLG;ECAC;472.7;243.2;1911.55
VLG7480;A320;LEBL;DAOO;ECODN;310;3:41:00;11;4:50:00;1:09:00;0:43:00;D;173;VLG;ECAC;423;217.6;561.41
RYR26UP;B738;LEBL;EGNX;9HQFK;380;4:05:00;20;5:50:00;1:45:00;1:10:00;D;184;RYR;ECAC;466.5;240;1008
VLG94PH;A320;LEBL;LIMC;ECOJG;300;4:00:00;8;5:05:00;1:05:00;0:42:00;D;173;VLG;ECAC;416.8;214.4;540.29
RYR38AV;B738;LEBL;LIPZ;EIDLD;380;4:05:00;20;5:25:00;1:20:00;0:45:00;D;184;RYR;ECAC;466.5;240;648
VLG8113;A320;LGAV;LEBL;ECOFX;360;1:41:00;13;4:05:00;2:24:00;1:56:00;D;173;VLG;ECAC;454.1;233.6;1625.86
RYR73JP;B38M;LEBL;LIMF;EIIHE;300;4:08:00;0;5:20:00;1:12:00;0:57:00;D;170;RYR;ECAC;416.8;214.4;733.25
TAP1041;A321;LEBL;LPPT;CSTJE;330;4:18:00;8;5:45:00;1:27:00;1:04:00;D;207;TAP;ECAC;435.4;224;860.16
RYR4WX;B738;LEBL;LFOB;EIEBF;340;4:26:00;20;5:45:00;1:19:00;0:44:00;D;184;RYR;ECAC;441.6;227.2;599.81
VLG5VH;A320;LEBL;LMML;ECKRH;370;4:07:00;17;6:05:00;1:58:00;1:26:00;D;173;VLG;ECAC;460.3;236.8;1221.89
AFR32SN;A321;LEBL;LFPG;FGTAZ;340;4:18:00;8;6:05:00;1:47:00;1:24:00;D;207;AFR;ECAC;441.6;227.2;1145.09
RYR9CG;B38M;LEBL;EICK;EIIJM;360;4:26:00;20;6:25:00;1:59:00;1:24:00;D;170;RYR;ECAC;454.1;233.6;1177.34
SIA388;A359;WSSS;LEBL;9VSMK;400;15:45:00;10;4:20:00;12:35:00;12:10:00;B;297;SIA;Non-ECAC;478.9;246.4;10792.32
VLG5BG;A320;LEBL;GCLP;ECLAB;370;4:03:00;8;7:15:00;3:12:00;2:49:00;D;173;VLG;ECAC;460.3;236.8;2401.15
RYR32FE;B738;LEBL;LIME;9HQAL;340;4:20:00;20;5:40:00;1:20:00;0:45:00;D;184;RYR;ECAC;441.6;227.2;613.44
AAL66;B772;KJFK;LEBL;N795AN;390;21:46:00;36;4:25:00;6:39:00;5:48:00;B;296;AAL;Non-ECAC;472.7;243.2;5078.02
EJU41GZ;A319;LEBL;LSGG;OELVG;320;4:25:00;20;5:35:00;1:10:00;0:35:00;D;144;EJU;ECAC;429.2;220.8;463.68
ITY075;A320;LEBL;LIRF;EIDTA;340;4:28:00;8;5:40:00;1:12:00;0:49:00;D;173;ITY;ECAC;441.6;227.2;667.97
RYR2A;B738;LEBL;LEMH;EIDCN;190;4:20:00;20;5:00:00;0:40:00;0:05:00;D;184;RYR;ECAC;348.4;179.2;53.76
RYR28RR;B738;LEBL;LIRF;9HQEK;340;4:40:00;20;5:50:00;1:10:00;0:35:00;D;184;RYR;ECAC;441.6;227.2;477.12
RYR56MC;B738;LEBL;EPGD;EIDPI;370;4:28:00;21;7:10:00;2:42:00;2:06:00;D;184;RYR;ECAC;460.3;236.8;1790.21
TVF32ER;A20N;LEBL;LFPO;FHXSG;340;4:30:00;20;5:50:00;1:20:00;0:45:00;D;174;TVF;ECAC;441.6;227.2;613.44
VLG911N;A320;LEBL;LIPE;ECMER;340;4:35:00;8;5:55:00;1:20:00;0:57:00;D;173;VLG;ECAC;441.6;227.2;777.02
VLG2GP;A320;LEBL;LEPA;ECMAI;190;4:32:00;8;5:10:00;0:38:00;0:15:00;D;173;VLG;ECAC;348.4;179.2;161.28
SWR7YT;A321;LEBL;LSZH;HBIOH;320;4:45:00;8;6:05:00;1:20:00;0:57:00;D;207;SWR;ECAC;429.2;220.8;755.14
VLG4SW;A321;LEBL;LGAV;ECNLV;350;4:47:00;12;7:15:00;2:28:00;2:01:00;D;207;VLG;ECAC;447.8;230.4;1672.7
RYR282G;B738;LEBL;ELLX;9HQEW;340;4:50:00;20;6:20:00;1:30:00;0:55:00;D;184;RYR;ECAC;441.6;227.2;749.76
RYR82RX;B738;LEBL;GCXO;EIENF;370;4:45:00;20;7:50:00;3:05:00;2:30:00;D;184;RYR;ECAC;460.3;236.8;2131.2
KLM73T;B738;LEBL;EHAM;PHBXL;360;4:54:00;16;6:35:00;1:41:00;1:10:00;D;184;KLM;ECAC;454.1;233.6;981.12
VLG23TK;A321;LEBL;LEPA;ECMLD;170;4:53:00;11;5:15:00;0:22:00;0:15:00;D;207;VLG;ECAC;335.9;172.8;155.52
ETD1HA;B78X;OMAA;LEBL;A6BMI;380;22:25:00;10;4:50:00;6:25:00;6:00:00;B;294;ETD;Non-ECAC;466.5;240;5184
VLG46YB;A321;LEBL;LDDU;ECMQL;340;4:54:00;13;6:40:00;1:46:00;1:18:00;D;207;VLG;ECAC;441.6;227.2;1063.3
