id,ident,continent,iso_country,iso_region
6523,00A,NA,US,US-PA
323361,00AA,NA,US,US-KS
6524,00AK,NA,US,US-AK
6525,00AL,NA,US,US-AL
506791,00AN,NA,US,US-AK
322127,00AS,NA,US,US-OK
6527,00AZ,NA,US,US-AZ
6528,00CA,NA,US,US-CA
324424,00CL,NA,US,US-CA
322658,00CN,NA,US,US-CA
6531,00FA,NA,US,US-FL
6533,00FL,NA,US,US-FL
6534,00GA,NA,US,US-GA
6535,00GE,NA,US,US-GA
6536,00HI,OC,US,US-HI
6537,00ID,NA,US,US-ID
322581,00IG,NA,US,US-KS
6539,00IL,NA,US,US-IL
6540,00IN,NA,US,US-IN
6541,00IS,NA,US,US-IL
6542,00KS,NA,US,US-KS
6543,00KY,NA,US,US-KY
45437,00LA,NA,US,US-LA
6544,00LL,NA,US,US-IL
6545,00LS,NA,US,US-LA
6546,00MD,NA,US,US-MD
6547,00MI,NA,US,US-MI
6548,00MN,NA,US,US-MN
6549,00MO,NA,US,US-MO
324642,00MT,NA,US,US-MT
6551,00N,NA,US,US-NJ
6552,00NC,NA,US,US-NC
6553,00NJ,NA,US,US-NJ
321919,00NK,NA,US,US-NY
506039,00NR,NA,US,US-NC
6554,00NY,NA,US,US-NY
6556,00OI,NA,US,US-OH
328503,00OK,NA,US,US-OK
6557,00OR,NA,US,US-OR
6558,00PA,NA,US,US-PA
45773,00PN,NA,US,US-PA
6560,00S,NA,US,US-OR
6561,00SC,NA,US,US-SC
330391,00SD,NA,US,US-SD
6563,00TE,NA,US,US-TX
6565,00TS,NA,US,US-TX
516563,00TT,NA,US,US-TX
6568,00VA,NA,US,US-VA
6569,00VI,NA,US,US-VA
6570,00W,NA,US,US-WA
6571,00WA,NA,US,US-WA
6572,00WI,NA,US,US-WI
6573,00WN,NA,US,US-WA
6574,00WV,NA,US,US-WV
322300,00WY,NA,US,US-WY
525140,00XA,NA,US,US-TX
6576,01A,NA,US,US-AK
6577,01AK,NA,US,US-AK
6578,01AL,NA,US,US-AL
356168,01AN,NA,US,US-AK
6579,01AR,NA,US,US-AR
6580,01AZ,NA,US,US-AZ
6582,01CA,NA,US,US-CA
6583,01CL,NA,US,US-CA
6585,01CO,NA,US,US-CO
6586,01CT,NA,US,US-CT
6587,01FA,NA,US,US-FL
6588,01FD,NA,US,US-FL
6589,01FL,NA,US,US-FL
6590,01GA,NA,US,US-GA
6591,01GE,NA,US,US-GA
6530,01ID,NA,US,US-ID
6593,01II,NA,US,US-IN
6594,01IL,NA,US,US-IL
6595,01IN,NA,US,US-IN
6596,01IS,NA,US,US-IL
6597,01J,NA,US,US-FL
6598,01K,NA,US,US-KS
6599,01KS,NA,US,US-KS
6600,01KY,NA,US,US-KY
6601,01LA,NA,US,US-LA
6602,01LL,NA,US,US-IL
6603,01LS,NA,US,US-LA
6604,01MA,NA,US,US-MA
6605,01MD,NA,US,US-MD
6606,01ME,NA,US,US-ME
6607,01MI,NA,US,US-MI
6608,01MN,NA,US,US-MN
6609,01MO,NA,US,US-MO
6610,01MT,NA,US,US-MT
356169,01MU,NA,US,US-AZ
6611,01NC,NA,US,US-NC
6613,01NH,NA,US,US-NH
6614,01NJ,NA,US,US-NJ
45537,01NM,NA,US,US-NM
506122,01NR,NA,US,US-NC
6615,01NV,NA,US,US-NV
6616,01NY,NA,US,US-NY
